"magnitude","latitude","longitude","depth"
"3.9","38.1128","38.5365","8.388"
"4.3","36.8216","36.5749","8.342"
"4.4","38.1179","38.6785","10"
"4.6","38.1188","38.6904","5.474"
"4.3","37.9391","36.329","10"
"4.3","36.9506","35.7349","3.736"
"4.3","38.078","38.5946","10.648"
"4.1","37.9912","37.4971","8.969"
"4.8","38.6968","35.3499","6"
"4","38.0554","38.4498","5.379"
"4.3","38.0443","38.4499","10"
"4.2","38.8412","37.3634","10"
"4.1","38.7072","35.3412","3.922"
"4.7","38.6363","35.2749","5"
"4.4","37.6641","36.608","8.301"
"4","36.1589","36.0428","10"
"4","38.197","37.2109","14.422"
"4","36.2202","36.0072","10"
"4.3","36.1213","36.1681","10"
"4.1","37.9373","37.9093","4.878"
"4","36.1816","36.0375","10"
"4.8","36.7867","36.1842","10"
"4.2","38.0299","38.2134","2.86"
"5","37.8395","36.7004","7.12"
"3.4","38.2315","38.1119","6.914"
"4.4","37.2659","37.0676","9.357"
"4.2","41.3069","44.0089","10.051"
"4.7","36.3065","36.097","10"
"4.3","37.7611","37.8869","10"
"4.1","37.9019","36.8966","10"
"4.1","37.2808","37.0318","11.969"
"4.1","37.2588","36.992","13.18"
"4","38.714","35.3935","10"
"3.9","37.9073","36.7306","10"
"4.4","37.7893","36.7056","10"
"4.3","37.4289","36.4287","13.271"
"4.2","38.2434","38.2911","10"
"5.2","38.2144","38.2773","10"
"4.4","36.6204","35.704","10"
"4.2","37.9189","37.0464","8.266"
"4.7","37.8722","37.5853","10"
"4.3","38.0353","37.0903","10"
"4.5","36.0535","36.012","10"
"4.4","38.0367","37.067","6.703"
"5.2","37.9797","33.9876","11.752"
"4.1","38.3654","37.4414","5.166"
"4.2","36.0592","35.9528","10"
"4.2","38.9781","41.0714","6.75"
"4.5","38.0934","38.7162","10"
"4.6","38.7865","37.3025","10"
"4.5","37.9736","33.9905","10.022"
"4","36.3086","36.0365","10"
"4.9","36.0589","36.095","10"
"4.4","38.0035","37.7419","10"
"4","37.2286","37.0909","10"
"4.1","38.0438","38.3872","9.136"
"4.2","38.0395","37.8449","10"
"4.4","38.4898","40.3081","11.672"
"4","38.0463","36.6397","10"
"4.2","36.1158","36.1459","10"
"4.1","38.0685","37.43","10.747"
"4.2","37.4411","37.2074","16.582"
"4.2","38.1698","38.4896","5.935"
"4.3","38.0175","37.3695","10"
"4.2","36.2572","36.1266","10"
"4.2","36.105","35.9906","10"
"4.6","36.2653","36.0798","10"
"5.5","36.159","35.9351","10"
"6.3","36.1616","36.0251","16"
"4.4","38.6405","39.9601","7.501"
"4.3","38.0024","36.7996","6.718"
"4.4","38.6331","39.9916","5.322"
"4.2","38.6528","39.9381","13.941"
"4.5","38.6907","39.9843","10"
"4.7","38.6445","39.9175","10"
"4.2","38.2676","38.8212","10"
"3.9","37.3725","36.8705","10"
"4.6","38.2354","38.1917","5.306"
"4.3","37.3021","36.8869","11.749"
"4.2","37.2737","36.8291","10"
"4.1","37.1416","36.8384","9.74"
"4.3","38.0406","36.2306","6.431"
"5","38.0696","36.5991","12.158"
"4","37.9217","38.1144","9.326"
"4","38.073","37.1651","5.16"
"2.6","37.9028","32.5633","10"
"3.9","38.0804","38.1774","15.797"
"4.4","38.6273","39.642","10"
"4.4","37.9375","36.3279","6.44"
"4.6","39.1851","40.1492","10"
"4.1","37.8609","37.9524","10"
"5.2","36.1766","35.7967","10"
"4.1","37.9197","37.5097","10"
"4.6","38.1997","37.8377","10"
"4.3","38.0817","38.5211","15.653"
"3.9","37.3595","36.8701","13.697"
"4.2","38.0487","36.6395","6.273"
"4.2","40.5723","35.3842","2.084"
"4.4","38.0187","36.4651","5.224"
"4.3","38.0945","36.7069","10"
"4.2","36.7937","36.5503","10"
"4.5","38.5302","37.4908","5"
"4.4","38.0849","37.166","0.343"
"4","37.8316","37.9533","12.979"
"4.4","36.0172","36.1295","10"
"4.2","36.781","36.1142","10"
"4.6","38.0051","36.42","7.437"
"4.2","37.8703","36.2865","10"
"4.3","38.0402","38.589","13.42"
"4.5","36.8844","36.6204","11.34"
"4.3","38.0251","36.6342","10"
"4","36.0389","35.8488","10"
"4.4","36.5999","36.8854","10"
"4.3","37.2623","37.0849","10"
"4.7","37.3429","36.9989","9.339"
"4.1","38.083","36.6197","10"
"5","38.824","38.031","10"
"4.4","37.8149","36.7003","10"
"4.3","37.9553","38.2894","10"
"4.2","36.7991","36.7677","4.27"
"4.1","38.1339","38.2786","16.771"
"4.2","36.1158","36.3017","10"
"4","41.875","42.2665","10"
"4.4","38.0797","37.3193","7.67"
"4.3","41.8775","42.1528","10"
"4","38.1156","38.5843","8.654"
"4.1","37.9055","37.4792","10"
"4.3","36.5324","36.4568","10"
"4.3","37.796","38.2326","10"
"4.1","38.0249","36.4218","10"
"4.3","36.6384","36.5737","10"
"4.3","37.7557","37.8675","11.351"
"4.3","38.1325","38.732","2.958"
"4.3","36.268","36.171","10"
"4.4","41.9449","42.1521","10"
"4.4","37.9428","36.5034","10"
"4.5","38.8519","38.0757","10"
"4.1","38.0902","36.6163","8.66"
"4.2","37.8492","36.67","8.739"
"4.4","36.4869","36.3096","5.36"
"4.3","38.1233","36.6274","13.853"
"4.3","38.0281","38.1329","4.448"
"4.6","37.0598","36.95","4.748"
"4.6","38.0647","36.5778","8.106"
"4","37.9256","38.192","10"
"4.3","37.8165","36.5708","10"
"4.2","37.9489","38.4382","10.26"
