latitude,longitude,depth,magnitude,exponent
3.07,126.72,20.1,5.53,24
23.59,-45.28,10,5.83,24
-7.95,-74.52,153,5.93,25
-20.74,-178.8,579,5.74,24
-31.65,179.78,352.4,5.29,24
-5,130.94,69.4,6.16,25
-7.08,154.71,38.8,5.99,25
-12.92,168.97,649,5.21,23
16.38,122.59,35,7.23,26
43.71,148.66,53.4,5.66,24
16.82,122.63,31.7,6.1,25
12.91,145.81,10,5.37,24
13,146,10,5.72,24
27.47,56.44,18.8,6.7,26
27.63,56.96,19.3,6.11,25
-33.89,178.81,281.7,5.96,25
27.23,56.13,10,5.92,24
7.17,-73.18,157.7,5.54,24
-15.21,-177.92,10,5.41,24
-14.8,-178.03,10,6.24,25
-14.84,-177.99,10,6.1,25
27.25,56.44,10,5.51,24
37.58,39.82,21,5.25,23
52.4,-168.18,28.7,6.1,25
-18.53,-174.15,105.2,5.56,24
-0.72,-13.22,10,5.75,24
-15.16,166.75,111.9,6.07,25
31.66,139.27,21,5.46,24
-48.51,123.63,10,5.39,24
27.37,56.4,10,5.92,24
-16.77,-171.91,50.3,7.28,27
16.56,-93.12,209.7,5.51,24
7.74,-34.74,10,6.07,25
11.55,144.53,33.5,5.86,24
31.34,50.26,10,6.01,25
-10.11,-71.08,575.3,6.06,25
-19.71,169.61,10,5.68,24
-52.29,114.59,10,5.46,24
22.56,141.9,10,5.24,23
36.03,70.46,209.8,5.69,24
3.72,126.86,44.9,5.37,24
-17.79,-178.94,533.4,5.44,24
-23.01,-69.27,129.7,5.39,24
-21.13,-179.35,581.8,5.25,23
35.99,70.41,230.5,5.38,24
-5.62,125.62,555,5.74,24
-6.06,148.28,161.2,5.36,24
30.34,137.7,495.4,5.74,24
-10.07,160.47,11,6.79,26
-9.2,159.2,16.3,7.24,26
-9.33,159.79,16.4,7.07,26
-10.22,160.59,40.4,7.32,27
-9.95,160.61,10,5.96,25
-8.35,118.75,68.7,5.5,24
-18.54,-178.1,554.3,5.29,24
74.67,133.62,10,4.89,23
-41.6,-89.42,10,5.58,24
32.1,48.63,19.6,5.46,24
-55.2,-127.24,10,5.51,24
-5.84,-77.02,130,5.17,23
-7.4,154.28,14.1,5.37,24
6.7,123.15,10,5.87,24
71.63,-1.51,10,5.42,24
-25.79,179.83,462.3,5.71,24
-2.17,-80.99,29,5.49,24
26.92,126.68,147.5,5.48,24
-0.98,127.35,12.2,5.38,24
-43.33,171.48,10,5.16,23
2.06,126.36,110,5.27,24
12.89,121.85,10,5.59,24
39.56,118,22,5.75,24
21.6,92.77,40,5.93,24
15.92,120.91,16,5.78,24
49.73,155.19,128.3,5.38,24
28.12,139.73,439.7,6.46,25
1.5,-85.34,10,5.94,25
52.73,-168.28,52.9,5.35,24
-19.37,-177.83,506.4,5.58,24
-61.17,-26.55,12.3,5.35,24
-24.19,-176.37,35.1,5.33,24
-4.69,101.69,45,5.6,24
-10.23,160.22,20.1,5.64,24
15.39,120.63,188.4,6.12,25
27.28,139.72,345.2,5.17,23
-19.71,-177.31,346.9,5.68,24
-47.93,99.33,10,5.29,24
