time,latitude,longitude,depth,magnitude
2024-12-23T17:57:25.649Z,19.555700000000002,95.061300000000003,85.382999999999996,4.9000000000000004
2024-12-20T15:42:43.959Z,10.805099999999999,95.522099999999995,10,4.5
2024-12-11T01:26:00.061Z,23.5806,94.644499999999994,107.502,4.5999999999999996
2024-12-01T07:57:44.830Z,18.434699999999999,95.191900000000004,80.697000000000003,4.5999999999999996
2024-11-26T08:03:26.083Z,24.847999999999999,96.106499999999997,10,4.9000000000000004
2024-11-20T04:21:33.100Z,12.476800000000001,93.133600000000001,74.037000000000006,4.7000000000000002
2024-11-14T09:37:05.117Z,11.980399999999999,92.830100000000002,56.210000000000001,4.5999999999999996
2024-10-28T13:08:36.561Z,27.8841,94.016300000000001,10,4.7000000000000002
2024-10-20T10:00:01.194Z,13.8634,92.842500000000001,17.640999999999998,4.7000000000000002
2024-10-11T04:40:54.951Z,22.950500000000002,95.941100000000006,10,5
2024-10-05T15:41:51.486Z,23.129799999999999,94.308999999999997,46.447000000000003,4.5
2024-09-24T10:37:50.107Z,21.123999999999999,94.995599999999996,128.81399999999999,4.5
2024-09-24T09:24:24.060Z,12.615399999999999,93.559200000000004,86.075999999999993,4.5999999999999996
2024-09-13T09:22:52.460Z,11.690300000000001,95.003100000000003,10,4.7000000000000002
2024-08-25T09:21:25.503Z,10.204499999999999,93.822100000000006,10,4.7000000000000002
2024-08-21T16:45:24.944Z,13.320600000000001,93.121600000000001,27.18,4.5
2024-08-20T15:04:38.606Z,22.744900000000001,101.1232,13.156000000000001,4.7000000000000002
2024-08-19T00:44:51.858Z,25.108899999999998,96.411500000000004,10,4.5
2024-07-30T01:33:35.216Z,13.205399999999999,93.546099999999996,47.094000000000001,4.5
2024-07-28T10:11:03.470Z,21.319600000000001,93.896100000000004,67.884,4.7999999999999998
2024-07-03T15:13:23.196Z,19.108499999999999,95.8613,10,4.5
2024-06-28T17:16:45.100Z,10.1256,93.676500000000004,10,5
2024-06-26T13:39:33.305Z,24.3949,93.804100000000005,57.576999999999998,4.5999999999999996
2024-06-26T08:36:14.541Z,27.015699999999999,100.8211,10,4.7000000000000002
2024-06-26T08:19:08.140Z,26.851400000000002,100.8523,10,4.7999999999999998
2024-06-26T00:56:22.555Z,10.233700000000001,93.887500000000003,10,4.5
2024-06-03T13:21:04.048Z,17.418299999999999,94.667100000000005,21.731000000000002,4.5
2024-06-02T08:44:59.515Z,22.8369,94.571399999999997,106.754,4.7999999999999998
2024-05-29T13:13:27.000Z,23.527000000000001,94.662300000000002,97.552000000000007,5.4000000000000004
2024-05-27T10:39:17.621Z,28.206499999999998,100.64619999999999,10,4.5
2024-05-27T10:37:11.374Z,28.128900000000002,100.5735,10,4.7999999999999998
2024-05-27T08:25:36.603Z,28.1464,100.523,10,4.7000000000000002
2024-05-27T03:07:11.247Z,28.231999999999999,100.6748,10,5.0999999999999996
2024-04-29T19:08:28.046Z,17.377199999999998,94.230400000000003,10,4.7999999999999998
2024-04-28T20:45:38.172Z,25.522200000000002,96.647099999999995,10,4.5999999999999996
2024-04-16T23:01:24.137Z,11.381500000000001,92.959900000000005,57.531999999999996,5
2024-04-09T14:07:05.932Z,28.048999999999999,100.2389,30.530000000000001,5
2024-04-05T12:45:38.655Z,26.4924,96.913899999999998,69.135999999999996,5.7000000000000002
2024-03-14T06:13:01.910Z,11.2699,95.132599999999996,10,4.7999999999999998
2024-03-07T15:47:41.746Z,16.405200000000001,94.663899999999998,33.759,4.5999999999999996
2024-02-21T07:36:04.824Z,22.517399999999999,93.986800000000002,71.012,4.9000000000000004
2024-02-17T03:55:23.179Z,22.922699999999999,93.780299999999997,72.977000000000004,4.5999999999999996
2024-02-11T20:48:49.942Z,21.520600000000002,94.080500000000001,72.436000000000007,4.9000000000000004
2024-02-04T22:43:12.502Z,12.063800000000001,93.603700000000003,123.19499999999999,4.7000000000000002
2024-02-02T19:27:58.362Z,24.368500000000001,94.601900000000001,99.290999999999997,4.5
2024-01-23T13:07:54.804Z,9.5147999999999993,93.957899999999995,10,4.5
2024-01-12T15:24:28.521Z,20.745000000000001,93.690700000000007,49.463999999999999,4.5
2024-01-10T02:23:44.173Z,11.7494,93.240099999999998,85.164000000000001,4.5
2024-01-08T05:05:30.301Z,11.7568,92.6708,35.310000000000002,4.5999999999999996
2024-01-01T21:45:52.330Z,26.0489,95.4358,82.849999999999994,4.5
2023-12-29T16:31:16.478Z,25.091100000000001,96.523499999999999,10,5
2023-12-19T12:14:23.981Z,18.111000000000001,95.976200000000006,10,4.5
2023-12-01T17:36:34.052Z,24.261500000000002,98.147599999999997,10,5
2023-11-30T13:42:32.361Z,25.000499999999999,95.543599999999998,166.34,4.5999999999999996
2023-11-29T08:12:24.794Z,12.1737,95.2346,10,4.7999999999999998
2023-11-28T12:11:50.049Z,25.184899999999999,95.421899999999994,10,4.5999999999999996
2023-11-26T19:24:22.473Z,12.6576,95.278700000000001,10,4.5
2023-11-20T08:17:56.844Z,27.257000000000001,96.995000000000005,10,4.7000000000000002
2023-11-17T06:02:20.752Z,21.148800000000001,99.355599999999995,10,4.5
2023-11-17T01:37:11.547Z,21.216999999999999,99.330399999999997,15.733000000000001,5.7000000000000002
2023-11-08T23:21:32.691Z,13.473599999999999,92.909000000000006,18.382999999999999,4.5
2023-11-01T12:51:15.409Z,10.9291,93.063000000000002,93.275000000000006,4.9000000000000004
2023-10-27T23:23:47.733Z,26.248100000000001,95.508700000000005,79.962000000000003,4.7999999999999998
2023-09-23T14:24:34.421Z,17.1447,96.100399999999993,10,4.7999999999999998
